Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Feature_Set,Run,Seed
0.8553040390590324,0.7697595072507382,0.9207675367031369,0.8370033575763524,0.6215027824307342,0.8622327790973872,0.5752773375594294,0.9642416769420469,0.6901140684410646,ECFP,1,42
0.8570794496227253,0.7719608161159649,0.9213601216240246,0.8366348317216348,0.6265744093723427,0.8669833729216152,0.5784469096671949,0.9654747225647349,0.6939163498098859,ECFP,2,43
0.8588548601864181,0.7760986514662691,0.9220855862633637,0.8377430366815609,0.6315290353315351,0.8648018648018648,0.5879556259904913,0.9642416769420469,0.7,ECFP,3,44
0.8393253439857967,0.731550725855462,0.9125280171024015,0.82185348098013,0.5774541598359489,0.8898550724637682,0.4865293185419968,0.9765721331689272,0.6290983606557377,RDKIT,1,42
0.8428761651131824,0.7378898700709929,0.9132676490646636,0.8212303180663805,0.587735463058411,0.8923512747875354,0.49920760697305866,0.9765721331689272,0.6402439024390244,RDKIT,2,43
0.8411007545494895,0.7356885612057662,0.9114454382197245,0.8196166726120566,0.5822968654213929,0.886685552407932,0.4960380348652932,0.9753390875462392,0.6361788617886179,RDKIT,3,44
0.8490901020861075,0.7659279791925995,0.911675535085131,0.8076849908195518,0.6039979894751487,0.8329519450800915,0.5768621236133122,0.9549938347718866,0.6816479400749064,MACCS,1,42
0.8477585441633377,0.7664555898393914,0.910786413439611,0.807271146305174,0.6005489750586632,0.8228699551569507,0.5816164817749604,0.9512946979038225,0.6815227483751161,MACCS,2,43
0.848202396804261,0.7667638512450634,0.9121796963698433,0.8071301625011219,0.6017524405355165,0.8247191011235955,0.5816164817749604,0.9519112207151664,0.6821561338289963,MACCS,3,44
0.8344429649356414,0.7649538536095408,0.8936669135363396,0.7697588903791115,0.5693912237442155,0.7539370078740157,0.606973058637084,0.9229346485819976,0.6725197541703248,PHYCHEM,1,42
0.8291167332445628,0.7598023218776686,0.8936766841038728,0.7671414822929598,0.5560089441008655,0.7392996108949417,0.6022187004754358,0.9173859432799013,0.6637554585152838,PHYCHEM,2,43
0.8331114070128717,0.7635449377712553,0.8951774432769701,0.7723585721584358,0.565969004267691,0.75049115913556,0.6053882725832013,0.9217016029593095,0.6701754385964912,PHYCHEM,3,44
0.8473146915224146,0.7734093027527598,0.9150112068409606,0.8118018775351424,0.6010390886799949,0.80083857442348,0.6053882725832013,0.9414303329223181,0.6895306859205776,ESTATE,1,42
0.8468708388814914,0.7716486464832797,0.9139085982948405,0.8076657798570938,0.5994799834322496,0.8029661016949152,0.6006339144215531,0.9426633785450061,0.6872166817769719,ESTATE,2,43
0.8464269862405681,0.770372121835069,0.9132569014403771,0.8083476587287385,0.5980646912852313,0.8038379530916845,0.5974643423137876,0.9432799013563502,0.6854545454545454,ESTATE,3,44
0.7771859742565468,0.7368072911883159,0.835056698603395,0.6654766123921757,0.4623244431936893,0.5941605839416059,0.6450079239302694,0.8286066584463625,0.6185410334346505,SUBSTRUCT,1,42
0.7780736795383932,0.7369396823783907,0.8364279977566778,0.6654565107259739,0.46334883494355616,0.5961820851688693,0.6434231378763867,0.8304562268803946,0.6189024390243902,SUBSTRUCT,2,43
0.7780736795383932,0.7383920772421987,0.8365222837333729,0.6653773534295477,0.46503717395264,0.5953420669577875,0.6481774960380349,0.8286066584463625,0.6206373292867982,SUBSTRUCT,3,44
0.8575233022636485,0.7703325510365595,0.928586433371569,0.8505858882850985,0.6280481499960006,0.8762135922330098,0.572107765451664,0.968557336621455,0.6922339405560882,ALL_FEATURES,1,42
0.8619618286728806,0.7787406129272425,0.9286387059078713,0.8492539237140981,0.6404431278095944,0.8773584905660378,0.589540412044374,0.967940813810111,0.70521327014218,ALL_FEATURES,2,43
0.8570794496227253,0.7700242896308875,0.9294672500346854,0.8512901974983338,0.626742282809422,0.87409200968523,0.572107765451664,0.967940813810111,0.6915708812260536,ALL_FEATURES,3,44
0.8579671549045716,0.7696725491996929,0.9301165042472657,0.8518421067799768,0.6294971783820582,0.8820638820638821,0.5689381933438986,0.9704069050554871,0.6917148362235067,SELECTED_FEATURES,1,42
0.8553040390590324,0.7649181910380447,0.9295561621992375,0.8476713654136312,0.6219983084317859,0.8802992518703242,0.5594294770206022,0.9704069050554871,0.6841085271317829,SELECTED_FEATURES,2,43
0.854416333777186,0.76478579984797,0.9308312212623182,0.847901843606126,0.6192789182988986,0.8740740740740741,0.561014263074485,0.968557336621455,0.6833976833976834,SELECTED_FEATURES,3,44
0.8140257434531736,0.7081702462769253,0.8851552836298048,0.7525772640479369,0.5003134984250078,0.7804232804232805,0.4675118858954041,0.9488286066584464,0.5847373637264618,SELFIES,1,42
0.812694185530404,0.7077295936811785,0.8866790036366052,0.7564089533763148,0.4966475319248183,0.7728459530026109,0.46909667194928684,0.9463625154130703,0.5838264299802761,SELFIES,2,43
0.8153573013759432,0.7105474253577493,0.885969660433696,0.754189699184204,0.5044343181997167,0.7821522309711286,0.4722662440570523,0.9488286066584464,0.5889328063241107,SELFIES,3,44
