Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Feature_Set,Run,Seed
0.8726142920550377,0.8379409701391916,0.9326509894653742,0.8624150469228231,0.6816120888829539,0.7801302931596091,0.7591125198098256,0.9167694204685574,0.7694779116465863,ECFP,1,42
0.8708388814913449,0.8342872664101566,0.9287505789061263,0.8552389817056377,0.6763246139789172,0.7796052631578947,0.751188589540412,0.9173859432799013,0.7651331719128329,ECFP,2,43
0.8699511762094985,0.8307659538711966,0.9296221135300866,0.8556397218363192,0.6727307972646465,0.782608695652174,0.7416798732171157,0.9198520345252774,0.7615947925142392,ECFP,3,44
0.8672880603639591,0.8211702794968548,0.9214807881330596,0.8380095873305218,0.6627100836436678,0.7902097902097902,0.716323296354992,0.9260172626387176,0.7514546965918537,RDKIT,1,42
0.8548601864181092,0.804792854197729,0.9186321791687592,0.8327829750724136,0.6303775828546679,0.7676056338028169,0.6909667194928685,0.9186189889025894,0.7272727272727273,RDKIT,2,43
0.860630270750111,0.8126733054416199,0.919930199065543,0.8356567549997997,0.6455499550190257,0.7775831873905429,0.7036450079239303,0.9217016029593095,0.7387687188019967,RDKIT,3,44
0.8588548601864181,0.8288689981846286,0.9180952864828106,0.816262042548953,0.6527819311866,0.7418856259659969,0.7606973058637084,0.8970406905055487,0.7511737089201878,MACCS,1,42
0.8575233022636485,0.8245552926187271,0.9184592401234217,0.8181208213702017,0.6475528634380646,0.7437106918238994,0.7496038034865293,0.8995067817509248,0.7466456195737964,MACCS,2,43
0.8561917443408789,0.8226622451591723,0.9193889096242044,0.8200993907126406,0.6440834358000965,0.7417322834645669,0.7464342313787639,0.8988902589395807,0.7440758293838863,MACCS,3,44
0.8300044385264093,0.8093161384372173,0.898171633697515,0.7680501359502331,0.5970411486345965,0.6736694677871149,0.7622820919175911,0.8563501849568435,0.7152416356877324,PHYCHEM,1,42
0.8291167332445628,0.8048265626557185,0.8984627966100039,0.7712094417588548,0.5915455085012116,0.6757142857142857,0.7496038034865293,0.8600493218249076,0.7107438016528925,PHYCHEM,2,43
0.8282290279627164,0.8051783030869131,0.8974593593243456,0.7691086631935787,0.590848648804551,0.6728045325779037,0.7527733755942948,0.8575832305795315,0.7105459985041137,PHYCHEM,3,44
0.8535286284953395,0.8285587826654499,0.9158759020676477,0.8215131497750091,0.6446843169607507,0.7236255572065379,0.7717908082408875,0.8853267570900123,0.7469325153374233,ESTATE,1,42
0.8517532179316467,0.8239368156938764,0.9136120615702085,0.8156098669896631,0.638373841340604,0.7239819004524887,0.7606973058637084,0.8871763255240444,0.7418856259659969,ESTATE,2,43
0.8499778073679538,0.8236720333137271,0.9148871206332891,0.8166599008784389,0.6356393525652827,0.7183308494783904,0.7638668779714739,0.8834771886559802,0.7403993855606759,ESTATE,3,44
0.7936085219707057,0.7729036758829173,0.8591675281050375,0.6912635082287175,0.5200790547349049,0.6106666666666667,0.7258320126782885,0.8199753390875463,0.663287472845764,SUBSTRUCT,1,42
0.7918331114070128,0.7711864986389599,0.859337535980115,0.6919043748029863,0.5164626242432594,0.6077127659574468,0.7242472266244057,0.8181257706535142,0.660882140274765,SUBSTRUCT,2,43
0.7913892587660897,0.7694258423694799,0.8582344389056182,0.6894299964531995,0.5139685708838309,0.607764390896921,0.7194928684627575,0.8193588162762022,0.6589259796806967,SUBSTRUCT,3,44
0.8872614292055038,0.8563438340879468,0.949362568174135,0.8860065781648856,0.7183644665894319,0.8065040650406504,0.786053882725832,0.9266337854500617,0.7961476725521669,ALL_FEATURES,1,42
0.8885929871282734,0.8563003550624242,0.9493176235634823,0.883382414035579,0.7208611404374556,0.8125,0.7828843106180665,0.9297163995067818,0.7974172719935432,ALL_FEATURES,2,43
0.8881491344873502,0.8550238304142135,0.9489688143025476,0.8859867583547242,0.7194014595247884,0.8132231404958677,0.7797147385103012,0.9303329223181258,0.7961165048543689,ALL_FEATURES,3,44
0.8916999556147359,0.8599105797659363,0.9515892805149481,0.8891135512218358,0.7285434406151423,0.8187808896210873,0.7876386687797148,0.9321824907521579,0.802907915993538,SELECTED_FEATURES,1,42
0.8912561029738127,0.8596023183602644,0.9497895419753353,0.8840622284470134,0.7275416194062365,0.8174342105263158,0.7876386687797148,0.9315659679408138,0.8022598870056498,SELECTED_FEATURES,2,43
0.893919218819352,0.8638725449006431,0.9511730543380343,0.8880610688968712,0.7346650619432944,0.8202614379084967,0.7955625990491284,0.9321824907521579,0.8077232502011263,SELECTED_FEATURES,3,44
0.8220150909897914,0.7882752212545018,0.8895285896576589,0.7662954038799396,0.566858352000761,0.6721556886227545,0.7115689381933439,0.8649815043156597,0.6913010007698229,SELFIES,1,42
0.8273413226808699,0.7929426213651046,0.8884206072993955,0.7646449416412745,0.5780598528900328,0.6833333333333333,0.7147385103011094,0.8711467324290999,0.6986831913245546,SELFIES,2,43
0.8255659121171771,0.7897730492573392,0.8890913567605487,0.7609301968809032,0.5728273076150093,0.6814024390243902,0.7083993660855784,0.8711467324290999,0.6946386946386947,SELFIES,3,44
