,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.847 ± 0.002,0.808 ± 0.006,0.882 ± 0.008,0.795 ± 0.004,0.619 ± 0.007,0.731 ± 0.004,0.719 ± 0.015,0.897 ± 0.004,0.725 ± 0.007
RDKIT,0.837 ± 0.010,0.773 ± 0.026,0.894 ± 0.003,0.789 ± 0.009,0.581 ± 0.027,0.755 ± 0.045,0.629 ± 0.078,0.917 ± 0.030,0.681 ± 0.034
MACCS,0.822 ± 0.001,0.778 ± 0.016,0.880 ± 0.002,0.710 ± 0.011,0.559 ± 0.015,0.687 ± 0.017,0.677 ± 0.051,0.879 ± 0.019,0.680 ± 0.017
PHYCHEM,0.808 ± 0.006,0.735 ± 0.033,0.882 ± 0.002,0.725 ± 0.005,0.504 ± 0.033,0.700 ± 0.039,0.568 ± 0.096,0.902 ± 0.031,0.619 ± 0.047
ESTATE,0.850 ± 0.003,0.802 ± 0.002,0.915 ± 0.001,0.805 ± 0.004,0.620 ± 0.006,0.753 ± 0.012,0.692 ± 0.008,0.911 ± 0.007,0.721 ± 0.003
SUBSTRUCT,0.796 ± 0.001,0.718 ± 0.003,0.858 ± 0.002,0.686 ± 0.003,0.467 ± 0.002,0.666 ± 0.006,0.543 ± 0.011,0.894 ± 0.005,0.598 ± 0.004
SELFIES,0.764 ± 0.002,0.648 ± 0.018,0.829 ± 0.003,0.619 ± 0.009,0.355 ± 0.014,0.634 ± 0.030,0.386 ± 0.061,0.911 ± 0.026,0.475 ± 0.038
