,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.871 ± 0.001,0.834 ± 0.003,0.930 ± 0.002,0.858 ± 0.003,0.677 ± 0.004,0.781 ± 0.001,0.751 ± 0.007,0.918 ± 0.001,0.765 ± 0.003
RDKIT,0.861 ± 0.005,0.813 ± 0.007,0.920 ± 0.001,0.835 ± 0.002,0.646 ± 0.013,0.778 ± 0.009,0.704 ± 0.010,0.922 ± 0.003,0.739 ± 0.010
MACCS,0.858 ± 0.001,0.825 ± 0.003,0.919 ± 0.001,0.818 ± 0.002,0.648 ± 0.004,0.742 ± 0.001,0.752 ± 0.006,0.898 ± 0.001,0.747 ± 0.003
PHYCHEM,0.829 ± 0.001,0.806 ± 0.002,0.898 ± 0.000,0.769 ± 0.001,0.593 ± 0.003,0.674 ± 0.001,0.755 ± 0.005,0.858 ± 0.002,0.712 ± 0.002
ESTATE,0.852 ± 0.001,0.825 ± 0.002,0.915 ± 0.001,0.818 ± 0.003,0.640 ± 0.004,0.722 ± 0.003,0.765 ± 0.005,0.885 ± 0.002,0.743 ± 0.003
SUBSTRUCT,0.792 ± 0.001,0.771 ± 0.001,0.859 ± 0.000,0.691 ± 0.001,0.517 ± 0.003,0.609 ± 0.001,0.723 ± 0.003,0.819 ± 0.001,0.661 ± 0.002
ALL_FEATURES,0.888 ± 0.001,0.856 ± 0.001,0.949 ± 0.000,0.885 ± 0.001,0.720 ± 0.001,0.811 ± 0.003,0.783 ± 0.003,0.929 ± 0.002,0.797 ± 0.001
SELECTED_FEATURES,0.892 ± 0.001,0.861 ± 0.002,0.951 ± 0.001,0.887 ± 0.002,0.730 ± 0.003,0.819 ± 0.001,0.790 ± 0.004,0.932 ± 0.000,0.804 ± 0.002
SELFIES,0.825 ± 0.002,0.790 ± 0.002,0.889 ± 0.000,0.764 ± 0.002,0.573 ± 0.005,0.679 ± 0.005,0.712 ± 0.003,0.869 ± 0.003,0.695 ± 0.003
