Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
3418,263.391,3.567300000000002,1.0,5.0,37.81,6.0,2.0,0.0,5.0,2.0,17.0,0.0
3419,251.289,3.314580000000001,1.0,4.0,61.85,5.0,2.0,0.0,4.0,2.0,19.0,0.0
3420,239.26000000000002,-0.18280000000000046,2.0,5.0,100.63000000000001,4.0,2.0,0.0,8.0,2.0,16.0,0.0
3421,332.45,4.376580000000003,1.0,6.0,65.61,5.0,1.0,0.0,6.0,2.0,22.0,1.0
3422,412.5110000000001,4.5568000000000035,1.0,7.0,91.91,8.0,1.0,0.0,7.0,2.0,29.0,1.0
3423,297.18500000000006,4.133800000000003,0.0,3.0,27.05,6.0,2.0,0.0,5.0,2.0,19.0,0.0
3424,357.4090000000001,4.339900000000003,1.0,3.0,55.4,6.0,3.0,0.0,4.0,3.0,27.0,0.0
3425,463.37200000000024,5.237700000000004,2.0,5.0,68.82000000000001,10.0,2.0,0.0,7.0,2.0,29.0,0.0
3426,361.44500000000005,3.9455000000000027,1.0,4.0,56.15,5.0,3.0,0.0,5.0,4.0,27.0,1.0
3427,327.34000000000003,1.6108999999999998,2.0,5.0,92.92999999999999,7.0,2.0,0.0,7.0,2.0,24.0,0.0
3428,265.35299999999995,1.9890999999999999,2.0,4.0,50.72,9.0,1.0,0.0,4.0,1.0,19.0,0.0
3429,383.9040000000001,0.9365000000000001,3.0,6.0,118.35999999999999,5.0,1.0,0.0,11.0,2.0,22.0,1.0
3430,292.40700000000004,4.710200000000004,0.0,3.0,36.68,5.0,2.0,0.0,3.0,2.0,21.0,0.0
3431,237.353,3.0111000000000008,1.0,5.0,37.81,4.0,2.0,0.0,5.0,2.0,15.0,0.0
3432,300.408,4.761700000000003,0.0,5.0,35.010000000000005,5.0,3.0,0.0,5.0,3.0,20.0,0.0
3433,339.37700000000007,-0.7019000000000004,4.0,10.0,139.54000000000002,5.0,2.0,1.0,10.0,3.0,23.0,1.0
3434,410.49500000000023,4.693800000000004,0.0,7.0,62.58000000000001,8.0,3.0,0.0,7.0,3.0,29.0,0.0
3435,298.411,3.5981200000000024,1.0,3.0,41.99,6.0,2.0,0.0,4.0,2.0,21.0,0.0
3436,359.40200000000004,3.7272000000000025,0.0,7.0,48.53,4.0,3.0,0.0,10.0,3.0,23.0,0.0
3437,367.5030000000001,4.3754000000000035,0.0,7.0,48.53,5.0,4.0,0.0,7.0,4.0,25.0,0.0
3438,357.46000000000004,3.986900000000003,1.0,6.0,64.11,7.0,3.0,0.0,7.0,3.0,24.0,0.0
3439,444.5200000000001,4.5195200000000035,2.0,9.0,97.98,5.0,4.0,0.0,9.0,5.0,32.0,1.0
3440,332.41300000000024,3.0436000000000014,0.0,5.0,35.64,5.0,2.0,1.0,6.0,3.0,22.0,1.0
3441,240.34699999999995,0.9194999999999998,0.0,4.0,24.94,4.0,0.0,3.0,4.0,3.0,17.0,3.0
3442,246.318,0.4505999999999997,2.0,4.0,63.84,4.0,2.0,1.0,6.0,3.0,18.0,1.0
3443,167.212,0.24189999999999978,1.0,3.0,41.150000000000006,2.0,1.0,1.0,4.0,2.0,12.0,1.0
3444,392.4870000000001,5.9961000000000055,0.0,5.0,51.56,4.0,5.0,0.0,5.0,5.0,29.0,0.0
3445,217.31599999999997,1.2670000000000001,1.0,3.0,28.16,2.0,1.0,2.0,3.0,3.0,16.0,2.0
3446,245.36999999999995,2.0472,1.0,3.0,28.16,2.0,1.0,2.0,3.0,3.0,18.0,2.0
3447,245.36999999999995,2.0472,1.0,3.0,28.16,2.0,1.0,2.0,3.0,3.0,18.0,2.0
3448,320.32,1.4857999999999998,4.0,8.0,132.98000000000002,5.0,4.0,0.0,10.0,4.0,24.0,0.0
3449,204.298,2.1460999999999997,0.0,3.0,15.6,1.0,1.0,1.0,3.0,3.0,14.0,2.0
3450,534.7020000000002,11.263399999999985,0.0,0.0,0.0,5.0,8.0,0.0,0.0,8.0,42.0,0.0
3451,266.388,3.6994000000000025,0.0,2.0,16.130000000000003,5.0,2.0,1.0,2.0,3.0,20.0,1.0
3452,552.6380000000003,6.974600000000007,0.0,0.0,0.0,9.0,6.0,0.0,2.0,6.0,40.0,0.0
3453,277.496,5.295400000000005,1.0,1.0,12.03,4.0,0.0,3.0,1.0,3.0,20.0,3.0
3454,320.48,4.241600000000003,1.0,2.0,15.27,3.0,2.0,2.0,2.0,4.0,24.0,2.0
3455,320.48,4.241600000000003,1.0,2.0,15.27,3.0,2.0,2.0,2.0,4.0,24.0,2.0
