y_true,y_prob
0,0.012
0,0.0
0,0.008
0,0.004
0,0.008
0,0.012
0,0.008
0,0.064
0,0.074
0,0.052
0,0.048
0,0.022
0,0.01
0,0.01
0,0.106
0,0.028
0,0.01
0,0.04
0,0.054
0,0.052
0,0.036
0,0.014
0,0.03
0,0.032
0,0.114
1,0.716
0,0.13
1,0.764
1,0.818
1,0.98
0,0.13
1,0.796
0,0.082
0,0.064
0,0.088
0,0.046
0,0.022
0,0.048
0,0.156
0,0.24334627759902364
0,0.212
0,0.134
0,0.054
1,0.84
1,0.94
0,0.24
0,0.074
0,0.08
0,0.148
0,0.158
0,0.08
0,0.032
0,0.03
1,0.806
1,0.966
1,0.662
0,0.024
0,0.062
0,0.082
0,0.016
1,0.776
1,0.672
0,0.104
0,0.118
0,0.106
1,0.828
1,0.792
1,0.792
1,0.958
1,0.95
1,0.96
1,0.8
0,0.064
0,0.13
0,0.08901463333054603
0,0.07
1,0.842
1,0.868
0,0.262
0,0.108
0,0.18
1,0.782
1,0.758
0,0.202
0,0.102
1,0.8
1,0.994
1,0.814
0,0.02
0,0.026
0,0.084
0,0.068
0,0.054
0,0.02
1,0.95
1,0.99
1,0.98
1,0.822
1,0.812
1,0.736
0,0.104
0,0.092
0,0.082
0,0.116
1,0.958
1,0.974
1,0.98
0,0.06
0,0.048
1,0.838
1,0.958
0,0.02
0,0.12
0,0.1
0,0.064
1,0.76
0,0.02
0,0.022
0,0.03
0,0.086
1,0.826
0,0.11
0,0.156
1,0.812
0,0.074
0,0.106
0,0.358
0,0.176
0,0.024
1,0.82
0,0.062
1,0.992
1,0.986
1,0.994
1,0.994
0,0.068
0,0.288
1,0.726
1,0.794
0,0.024
0,0.016
1,0.91
1,0.916
0,0.098
0,0.078
1,0.94
0,0.022
0,0.092
0,0.142
0,0.158
0,0.004
0,0.012
0,0.008
0,0.116
1,0.966
1,0.966
0,0.074
1,0.868
0,0.12
1,0.816
0,0.088
1,0.772
0,0.092
1,0.826
1,0.8651571619301927
1,0.8591571619301926
0,0.066
1,0.766
0,0.088
1,0.84
0,0.15
1,0.922
1,0.928
0,0.054
0,0.058
0,0.06
0,0.018
0,0.018
1,0.85
0,0.016
0,0.016
0,0.016
1,0.936
1,0.94
1,0.938
0,0.012
0,0.04
0,0.086
0,0.066
0,0.204
0,0.134
0,0.036
0,0.062
0,0.102
0,0.038
0,0.08
1,0.76
0,0.086
1,0.9793462775990237
1,0.9793462775990237
0,0.144
1,0.994
1,0.992
1,0.988
0,0.002
0,0.124
1,0.724
1,0.796
0,0.03
0,0.026
1,0.926
0,0.028
1,0.866
0,0.226
1,0.866
1,0.926
0,0.08
0,0.04
0,0.044
0,0.038
1,0.99
1,0.944
0,0.036
0,0.048
0,0.12
1,0.818
0,0.14
0,0.072
1,0.844
0,0.0388140892318014
1,0.802
0,0.176
1,0.8
0,0.074
0,0.284
0,0.04
1,0.8716092838196287
1,0.902
0,0.07
0,0.074
0,0.122
0,0.144
1,0.838
0,0.11
1,0.7316092838196286
0,0.03
0,0.014
0,0.02
0,0.024
0,0.044
1,0.806
1,0.77
0,0.082
1,0.792
0,0.03
0,0.056
1,0.786
0,0.264
0,0.158
0,0.01
0,0.01
0,0.014
0,0.01
0,0.014
0,0.01
0,0.01
0,0.038
0,0.05
0,0.032
0,0.044
1,0.824
1,0.864
0,0.122
0,0.074
0,0.014
0,0.008
0,0.012
0,0.06
0,0.242
1,0.852
0,0.052
0,0.05
0,0.098
1,0.962
0,0.114
0,0.18
0,0.066
1,0.842
1,0.834
1,0.848
1,0.806
0,0.164
0,0.154
0,0.174
1,0.8
0,0.192
1,0.818
0,0.152
1,0.736
0,0.228
1,0.85
1,0.976
1,0.972
1,0.766
0,0.142
0,0.192
1,0.746
0,0.094
1,0.802
0,0.08160928381962865
0,0.142
0,0.1
1,0.69
0,0.018
0,0.018
0,0.168
0,0.102
1,0.844
1,0.852
0,0.024
0,0.07
0,0.034
0,0.134
1,0.68
0,0.066
0,0.0
0,0.022
0,0.022
0,0.012
0,0.012
0,0.012
0,0.10160928381962864
1,0.836
1,0.876
0,0.076
1,0.886
1,0.826
0,0.13
1,0.894
1,0.9
0,0.039346277599023635
1,0.814
0,0.038
0,0.058
1,0.948
1,0.944
1,0.908
0,0.108
0,0.118
0,0.018
1,0.676
0,0.012
0,0.028
0,0.012
0,0.032
0,0.102
1,0.846
1,0.84
0,0.052
1,0.728
1,0.846
1,0.822
1,0.876
0,0.03
0,0.124
0,0.09101463333054603
0,0.1
0,0.058
0,0.002
0,0.014
0,0.002
1,0.75
1,0.824
0,0.058
0,0.056
1,0.946
1,0.814
1,0.842
0,0.052
0,0.032
0,0.194
0,0.076
1,0.79
1,0.8276092838196287
0,0.058
0,0.1
1,0.906
0,0.064
1,0.982
1,0.954
1,0.952
1,0.962
0,0.042
0,0.06
0,0.042
0,0.036
1,0.988
1,0.826
0,0.156
0,0.03
0,0.14
1,0.696
0,0.12
0,0.062
0,0.01
0,0.046
0,0.046
0,0.058
1,0.848
0,0.032
0,0.014
0,0.074
0,0.036
0,0.118
1,0.856
0,0.022
0,0.034
0,0.022
0,0.03
0,0.106
0,0.046
1,0.824
0,0.124
1,0.834
0,0.032
0,0.022
0,0.012
0,0.018
0,0.1
0,0.032
0,0.024
0,0.03
1,0.7033462775990237
0,0.016
0,0.076
0,0.072
0,0.052
0,0.08
0,0.039014633330546035
0,0.066
0,0.022
0,0.057783493789961046
0,0.034
0,0.018
0,0.052
0,0.026
0,0.046
0,0.074
1,0.846
0,0.046
0,0.008
0,0.008
0,0.029346277599023633
1,0.778
0,0.034
0,0.07
0,0.07
0,0.008
0,0.086
0,0.086
0,0.022
0,0.01
0,0.098
0,0.116
0,0.038
0,0.018
0,0.034
1,0.692
0,0.06
0,0.05
1,0.866
1,0.872
0,0.09
0,0.132
1,0.736
1,0.816
1,0.8
0,0.032
0,0.034
0,0.088
0,0.068
0,0.064
0,0.16
1,0.766
1,0.814
1,0.8848140892318014
0,0.256
1,0.836
0,0.186
0,0.014
1,0.87
0,0.22
0,0.1
0,0.006
0,0.006
0,0.006
1,0.8
0,0.034
0,0.056
0,0.07178349378996106
0,0.128
1,0.97
1,0.992
1,0.962
1,0.992
1,0.996
1,0.984
1,0.976
1,0.986
1,0.996
1,0.982
0,0.082
1,0.794
0,0.048
0,0.02
0,0.066
0,0.078
0,0.146
0,0.07
0,0.07081408923180141
