scaffold,mean_shap,effect,n_total,n_active,n_inactive,active_ratio
O=C(c1ccncc1)N1CCCC2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,0.002544867,positive,1,1,0,1
c1ccc(-c2nc(NCCc3c[nH]c4ccccc34)c3ccccc3n2)cc1,0.002542322,positive,6,6,0,1
c1cn(-c2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,0.002532287,positive,1,1,0,1
O=C(CSc1nnc(-c2ccccc2)n1Cc1ccc2c(c1)OCO2)Nc1ccccc1,0.00253227,positive,2,2,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3c[nH]ccc3=O)C2C1Cc1ccccc1,0.002527778,positive,3,3,0,1
c1ccc2c(NCCN3CCOCC3)nc(-c3ccc4c(c3)OCO4)nc2c1,0.002519783,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccco3)C2C1Cc1ccccc1,0.002518524,positive,2,2,0,1
O=C(CSc1nnc2ccc3ccccc3n12)NCc1ccc2c(c1)OCO2,0.002513363,positive,1,1,0,1
O=C(c1cc2c(n1Cc1ccco1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002503609,positive,3,3,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3ccccn3)C2C1Cc1ccccc1,0.002494758,positive,2,2,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2[nH]1,0.002491612,positive,1,1,0,1
c1ccc2c(NCCc3c[nH]c4ccccc34)nc(-c3cnoc3)nc2c1,0.002489543,positive,1,1,0,1
c1ccc(CNc2ncncc2-c2cnoc2)cc1,0.002486422,positive,2,2,0,1
c1ccc2c(CCNc3ncncc3-c3cnoc3)c[nH]c2c1,0.002448198,positive,1,1,0,1
O=C(c1cc2c(n1Cc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002431736,positive,3,3,0,1
O=C(c1cc2c(n1CCn1ccnc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002424622,positive,1,1,0,1
c1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1,0.002423154,positive,9,9,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cc[nH]n3)C2C1Cc1ccccc1,0.002420997,positive,3,3,0,1
c1ccc(Nc2ncncc2-c2ccc3c(c2)OCO3)cc1,0.002415282,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccc3)C2C1Cc1ccccc1,0.002410064,positive,17,15,2,0.882352941
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,0.002408632,positive,8,8,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccc2ccccc12,0.00240428,positive,1,1,0,1
c1ccc(CNc2ncncc2-c2ccc3c(c2)OCO3)cc1,0.002401423,positive,4,4,0,1
c1ccc(-c2cncnc2NCCc2c[nH]cn2)cc1,0.002400417,positive,7,7,0,1
O=C(c1cc2c([nH]1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002375387,positive,16,16,0,1
c1cncc(CNc2nc(-c3ccoc3)nc3ccccc23)c1,0.002365793,positive,1,1,0,1
c1ccc(CNc2ncncc2-c2ccoc2)cc1,0.002363684,positive,2,2,0,1
c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)cc1,0.002354824,positive,5,5,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cccnc3)C2C1Cc1ccccc1,0.002352252,positive,2,2,0,1
c1cncc(-c2nc(NCc3cccs3)c3ccccc3n2)c1,0.002350811,positive,1,1,0,1
c1ccc(CNc2ncncc2-c2ccccc2)cc1,0.002350495,positive,36,36,0,1
c1ccc2c(NCc3cnccn3)nc(-c3ccc4c(c3)OCO4)nc2c1,0.002342967,positive,1,1,0,1
O=C(CSc1nnc(-c2ccc3ccccc3c2)[nH]1)NCc1ccc2c(c1)OCO2,0.002342291,positive,1,1,0,1
c1ccc(Nc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cc1,0.002341083,positive,1,1,0,1
O=C(c1ccccc1)N1CCCC2(CCN(Cc3ccncc3)C2)C1,0.002331463,positive,3,3,0,1
c1cncc(CNc2nc(-c3cnoc3)nc3ccccc23)c1,0.002331197,positive,1,1,0,1
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,0.002330245,positive,3,3,0,1
c1ccc(Nc2ncncc2-c2ccccc2)cc1,0.002329609,positive,14,14,0,1
O=C(c1ccncc1)N1CCCC2(CCN(Cc3ccccc3)C2)C1,0.002318102,positive,2,2,0,1
O=C1C=C2CCc3cn(-c4ccccc4)cc3C2C2(Cc3ccccc3)C(=NCCc3c[nH]c4ccccc34)OC(=O)N12,0.002317474,positive,1,1,0,1
c1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1,0.002315743,positive,3,3,0,1
c1ccc2c(CCNc3cc(-c4ccc5c(c4)OCO5)ncn3)c[nH]c2c1,0.002310087,positive,1,1,0,1
O=C1OC(=NCCc2c[nH]c3ccccc23)C2C3C(=CCc4c[nH]cc43)C=CN12,0.002306826,positive,4,4,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,0.002290301,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccncc1,0.002286018,positive,1,1,0,1
c1ccc(CNc2ncnc3ccc(-c4cnoc4)cc23)cc1,0.002276954,positive,3,3,0,1
c1cncc(-c2nccc(NCCc3c[nH]c4ccccc34)n2)c1,0.002266994,positive,1,1,0,1
c1ccc(Nc2ncncc2-c2ccoc2)cc1,0.002266154,positive,2,2,0,1
c1cc2c(cc1Cc1nncn1C1CCCCC1)OCO2,0.002264822,positive,1,1,0,1
c1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,0.002263161,positive,1,1,0,1
O=C(NCc1ccc2c(c1)OCO2)C1C2C=CC3(CN(Cc4ccccc4)C(=O)C13)O2,0.002260771,positive,1,1,0,1
c1ccc2c(CCNc3ncnc4ccc(-c5cnoc5)cc34)c[nH]c2c1,0.002257697,positive,1,1,0,1
O=C(c1cnccn1)N1CCCC2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,0.002252794,positive,1,1,0,1
c1ncc(-c2ccc3c(c2)OCO3)c(NCCc2c[nH]cn2)n1,0.00224985,positive,1,1,0,1
O=C(CCN1C(=O)COc2ccccc21)NCc1ccc2c(c1)OCO2,0.002244001,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)c1ccncc1)c1ccccc1)Nc1ccc2ccccc2c1,0.00223739,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccn3)C2C1Cc1ccccc1,0.002235323,positive,3,3,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCN3CCOCC3)C2C1Cc1ccccc1,0.002222548,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3CC3CC3)C2C1Cc1ccccc1,0.002221708,positive,1,1,0,1
c1ccc(-c2nccc(-n3ccnc3)n2)cc1,0.002221139,positive,7,7,0,1
O=C1CNCN1CCn1ccc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21,0.002217924,positive,2,2,0,1
c1ccc(Nc2ncncc2-c2cnoc2)cc1,0.002210015,positive,1,1,0,1
O=C(NC1CCCCC1)C(c1ccncc1)N(C(=O)Cn1nnc(-c2cccs2)n1)c1ccccc1,0.002207578,positive,1,1,0,1
O=C(c1ccncc1)N1CCCC2(CCN(C(c3ccccc3)c3ccccc3)C2)C1,0.002203068,positive,1,1,0,1
c1ccc(-c2nnc(SCc3nc4ccccc4[nH]3)[nH]2)cc1,0.002199871,positive,2,2,0,1
c1cncc(CNc2ncnc3ccc(-c4ccoc4)cc23)c1,0.00219536,positive,1,1,0,1
O=S(=O)(c1ccccc1)N1c2ccccc2-n2cccc2C1c1cccnc1,0.002189978,positive,1,1,0,1
O=C(NCc1ccc2c(c1)OCO2)C1c2ccccc2NC(=O)N1c1ccccc1,0.00218709,positive,1,1,0,1
c1ccc(Nc2ncnc3ccc(-c4cccnc4)cc23)cc1,0.002183354,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3[nH]ccc3C2C1Cc1ccccc1,0.002181394,positive,18,18,0,1
O=C1CNCN1CCn1c(C(=O)N2CCCC2)cc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21,0.002180169,positive,1,1,0,1
O=C1C=C2CCc3c[nH]cc3C2C2(Cc3ccccc3)C(=NCCc3c[nH]c4ccccc34)OC(=O)N12,0.002177503,positive,2,2,0,1
c1ccc2c(Nc3ccncc3)nc(-c3ccoc3)nc2c1,0.002169756,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccn1,0.002169618,positive,2,2,0,1
c1cncc(-c2cc(NCCc3c[nH]c4ccccc34)ncn2)c1,0.002167258,positive,1,1,0,1
O=C(Nc1ccccc1)C1C=Nc2nc(-c3ccccc3)nn2C1c1ccncc1,0.002167152,positive,1,1,0,1
O=C(CSC1=CC(c2ccccc2)CC=N1)Nc1nccs1,0.002162792,positive,1,1,0,1
c1cncc(CNc2ncnc3ccc(-c4cccnc4)cc23)c1,0.002160968,positive,1,1,0,1
S=C(Nc1ccccc1)N(CCc1nc2ccccc2[nH]1)Cc1cccnc1,0.002160151,positive,3,3,0,1
O=C(CCC=NOCCCOCc1ccco1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.002159099,positive,1,1,0,1
