scaffold,mean_shap,effect,n_total,n_active,n_inactive,active_ratio
O=C(CN1C(=O)CN=C(c2ccccc2)c2ccsc21)Nc1nccs1,0.000841245,positive,1,1,0,1
O=S(=O)(c1ccccc1)N1CC2CCCN2c2ccccc21,0.000840863,positive,2,2,0,1
c1ccc(C2C3CNC(c4ccccc4)C34CC2(c2cccnc2)C4)cc1,0.000840499,positive,1,1,0,1
O=C(Cc1nc[nH]n1)NC1(C(=O)Nc2ccccc2)CCCCC1,0.00083991,positive,1,1,0,1
O=S(=O)(NN=Cc1ccccc1OCc1ccccc1)c1ccccc1,0.000839386,positive,2,2,0,1
O=C(CSc1nc(=O)c2ccc(-c3cccs3)nc2[nH]1)NCc1ccco1,0.000838767,positive,1,1,0,1
c1ccc(CSc2nccn2Cc2ccccc2)cc1,0.000838438,positive,1,1,0,1
c1ccc(CSc2nccn2-c2ccccc2)cc1,0.000837106,positive,3,3,0,1
O=C(NCC1CC1)C1C=CC2(CCCCC2)N1C(=O)c1ccccc1,0.00083673,positive,1,1,0,1
O=C(CSc1ccnc2ccccc12)Nc1ccccc1,0.000835346,positive,1,1,0,1
O=C(CCC=NOCc1cc(-c2ccccc2)no1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.000834153,positive,1,0,1,0
O=C(NCc1cccnc1)c1cccc(C(=O)NCc2cccnc2)c1,0.000833573,positive,1,1,0,1
O=C(NCc1cc2ccccc2[nH]c1=O)NC1CCCCC1,0.000833391,positive,1,1,0,1
O=C(CCn1cc2c(c1)C1C=CC2C1)Nc1ccc2ncccc2c1,0.000833109,positive,1,1,0,1
O=C(NCc1ccccc1)c1csc(Cc2ccccc2)n1,0.000832374,positive,3,3,0,1
S=C(Nc1ccccc1)N1CCCC(c2nc3ccccc3[nH]2)C1,0.000831753,positive,1,1,0,1
c1ccc(CNc2ncnc3c2nc(-c2ccccc2)n3CC2CCCN2)cc1,0.000830612,positive,1,1,0,1
N=C(NCc1ccccc1)SCCCc1c[nH]cn1,0.000829109,positive,1,1,0,1
O=C(Oc1ccccc1)N1CCCC2(CCN(Cc3ccccc3)C2)C1,0.000828644,positive,1,1,0,1
O=C(NC1CCN(C(=S)Nc2ccccc2)CC1)c1ccccc1,0.000828186,positive,1,1,0,1
C(#CC1C=CC(Oc2ccccc2)CO1)c1ccccc1,0.000826904,positive,7,6,1,0.857142857
O=C(CN(c1ccccc1)S(=O)(=O)c1ccccc1)NCC1CCCO1,0.0008265,positive,1,1,0,1
O=C(CSCC(=O)Nc1ccc(N2CCOCC2)cc1)Nc1ccccc1,0.000825998,positive,1,1,0,1
O=C(Cc1cccs1)N1CCC(c2nc(=O)c3nnn(Cc4ccccc4)c3[nH]2)CC1,0.000825867,positive,1,1,0,1
O=C(CSc1nccn1-c1ccccn1)c1ccccc1,0.000824259,positive,1,1,0,1
O=C(Cn1cc2c(c1)C1C=CC2C1)Nc1cccc2c1CCCC2,0.000823206,positive,1,1,0,1
O=C(Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1)c1ccccc1,0.00082238,positive,1,1,0,1
O=C(c1ccccc1)N1CCCC2(CCN(c3ccccc3)C2)C1,0.000822361,positive,1,1,0,1
O=C(OCc1ccccc1)N1CCN(c2ncc3ccccc3n2)CC1,0.000821145,positive,1,1,0,1
c1ccc(CC(Nc2cccnc2)c2ccccc2)cc1,0.000820405,positive,1,1,0,1
O=C(CNc1nc(-c2ccccc2)no1)Nc1ccccc1,0.000820398,positive,1,1,0,1
c1ccc2nc3[nH]ccc3nc2c1,0.000819883,positive,1,1,0,1
O=C1Nc2ccccc2C1=Nc1sc2c(c1C(=O)NCCc1ccccc1)CCCC2,0.000819875,positive,1,1,0,1
O=C1C(c2ccccc2)N(C2CCCC2)C(=O)CN1CCc1ccccc1,0.000818382,positive,1,1,0,1
O=C(CN(CC1CCCO1)C(=O)CNS(=O)(=O)c1ccccc1)NCCc1ccccc1,0.000818046,positive,1,1,0,1
c1ccc2c(c1)Cc1cc3ccccc3nc1-2,0.000816024,positive,1,1,0,1
c1ccc(Cc2nnc[nH]2)cc1,0.000814804,positive,1,1,0,1
O=C(Cc1c[nH]c(=S)n1Cc1cccs1)Nc1ccccc1,0.000814677,positive,1,1,0,1
O=C(CSCc1coc(-c2ccccc2)n1)NCC1CCCN1,0.000813883,positive,1,1,0,1
O=C(COc1ccccc1)NCCc1cc2ccccc2[nH]c1=O,0.000813878,positive,1,1,0,1
C(=Cc1ccccc1)NCCc1ccccc1,0.000813843,positive,3,3,0,1
O=S(=O)(NCC=NOCCC1C=CCCO1)c1ccccc1,0.000813504,positive,1,1,0,1
O=C(CSCc1coc(-c2ccccc2)n1)NC1CC1,0.000813331,positive,1,1,0,1
c1ccc(Nc2nc(NC3CCCCC3)nc3[nH]cnc23)cc1,0.000812029,positive,1,1,0,1
O=S(=O)(NCCSCc1ccccc1)c1ccc2c(c1)OCCO2,0.000811884,positive,2,2,0,1
c1cncc(-c2cc(NCc3ccco3)ncn2)c1,0.000810731,positive,1,1,0,1
c1ccc(CNc2ncnc3c2nc(-c2ccccc2)n3CCCN2CCOCC2)cc1,0.000810254,positive,1,1,0,1
C(=NNc1nc(-c2ccccc2)nc2ccccc12)c1ccccc1,0.000809659,positive,1,1,0,1
O=C(CSc1ncc[nH]1)Nc1cccs1,0.000808958,positive,1,1,0,1
O=C(NCc1cccnc1)C1CC2c3ccccc3C1c1ccccc12,0.000808083,positive,1,1,0,1
O=C(CSc1n[nH]c(-c2ccccc2)n1)N1CCCc2ccccc21,0.000807683,positive,1,1,0,1
O=C(CSc1ncnc2ccccc12)Nc1ccc2c(c1)OCCO2,0.000806866,positive,1,1,0,1
O=C(NC(=S)Nc1ccc2c(c1)OCO2)c1ccccc1,0.000805989,positive,1,1,0,1
c1ccc(CCNc2nccc(-c3ccco3)n2)cc1,0.000803711,positive,2,1,1,0.5
O=C(CN(CCc1ccccc1)S(=O)(=O)c1ccccc1)N1CCOCC1,0.000803706,positive,1,1,0,1
S=C(Nc1ccccc1)N1CCN(Cc2ccccc2)CC1,0.000803315,positive,1,1,0,1
C1=CC(Oc2ccccc2)COC1CCON=C1CCCC2c3c[nH]cc3CCC12,0.000802406,positive,1,1,0,1
O=C(Nc1ccccc1)c1nn(-c2ccccc2)cc1C1CCNCC1,0.000801632,positive,1,1,0,1
O=C1c2cccc3cccc(c23)C(=O)N1CCN1CCN(C(=S)Nc2ccccc2)CC1,0.000801469,positive,1,1,0,1
c1ccc(CSc2nnc(-c3cccnc3)o2)cc1,0.000801467,positive,1,1,0,1
C=c1c(=Cc2c[nH]c(=Nc3ccccc3)s2)ccn1-c1cccnc1,0.000801239,positive,1,1,0,1
O=C(CSc1nnnn1-c1ccccc1)Nc1ccccc1,0.000800672,positive,1,1,0,1
O=C(COc1ccccc1)Nc1ccccc1N1CCOCC1,0.000800352,positive,1,1,0,1
O=C(CNC(=O)c1ccccc1)OC(C(=O)c1ccccc1)c1ccccc1,0.000800068,positive,1,1,0,1
O=C(CSc1ncnc2sccc12)Nc1cc(-c2ccccc2)cs1,0.000797682,positive,1,1,0,1
O=C(CSc1nnc(-c2ccccc2)[nH]1)c1ccn(CC2CCCO2)c1,0.000797598,positive,1,1,0,1
O=C(CN(c1ccccc1)S(=O)(=O)c1ccccc1)NCCSc1ccccn1,0.000797456,positive,1,1,0,1
O=C(NN=CC=Cc1ccc2c(c1)OCO2)c1ccn[nH]1,0.000796934,positive,1,1,0,1
O=C(COC(=O)c1ccnc2ccccc12)Nc1nncs1,0.000795965,positive,1,1,0,1
c1ccc(CNc2ncnc3c2nc(-c2ccccc2)n3CCN2CCOCC2)cc1,0.000795299,positive,1,1,0,1
O=C(NCCNS(=O)(=O)c1ccccc1)c1ccccc1,0.000794598,positive,1,1,0,1
O=C1C(=Cc2ccccc2)COc2ccccc21,0.00079422,positive,2,2,0,1
O=C1C(=Cc2ccc(-c3ccccc3)o2)C(c2ccccc2)=NN1c1ccccc1,0.000792932,positive,1,1,0,1
O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cc2ccccc2s1,0.000792301,positive,1,1,0,1
O=C(Nc1sccc1C(c1ccncc1)N1CCOCC1)c1ccco1,0.000791157,positive,1,1,0,1
N=C(NOC(=O)CCCN1C(=O)c2ccccc2C1=O)c1ccccc1,0.000791061,positive,1,1,0,1
S=c1[nH]ncn1N=Cc1ccc2[nH]c3ccccc3c2c1,0.000790708,positive,1,1,0,1
[CH]=C1CC2(CC(=N)Oc3ccccc32)C(=O)N1,0.000790653,positive,1,1,0,1
O=C1C=C2CCc3c[nH]cc3C2C2C(=NCc3ccccc3)OC(=O)N12,0.000789249,positive,1,1,0,1
O=C(C1C(c2ccccc2)c2ccccc2N1S(=O)(=O)c1ccccc1)N1CCCC1,0.000788959,positive,1,1,0,1
O=C(C=Cc1ccco1)NC(=S)Nc1cccc(-c2nc3ccccc3s2)c1,0.000785857,positive,1,1,0,1
O=C(NC(=S)NC1CCCCC1)c1cc2ccccc2s1,0.00078505,positive,1,1,0,1
O=C(CSc1nc2ncc(Cc3ccccc3)cn2n1)NCc1ccco1,0.000784298,positive,2,2,0,1
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,0.000784268,positive,2,2,0,1
O=C(Nc1ccccc1)C(Cc1ccccc1)=NC(=O)c1ccccc1,0.000783983,positive,1,1,0,1
O=C(CSc1nc(C2CCCCC2)nc2ccccc12)Nc1nncs1,0.000782991,positive,1,1,0,1
O=C(Nc1cccnc1)C1CC(c2ccccc2)=NO1,0.000782781,positive,1,1,0,1
O=C(Nc1ccc2nc(SCc3ccccc3)sc2c1)c1ccccc1C(=O)N1CCOCC1,0.00078045,positive,1,1,0,1
O=S(=O)(c1ccc2[nH]c(Cc3ccccc3)nc2c1)N1CCOCC1,0.00077961,positive,1,1,0,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccco2)on1,0.000777533,positive,1,1,0,1
c1ccc(-c2cc(-c3ccc4occc4c3)[nH]n2)cc1,0.000777197,positive,1,1,0,1
S=C(NCCSc1ccccc1)Nc1ccccc1,0.000776687,positive,1,1,0,1
O=C(COc1ccccc1C(=O)Nc1ccccc1)Nc1ccccc1,0.000776222,positive,1,1,0,1
O=C(Nc1ccc(Cc2ccncc2)cc1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,0.00077536,positive,1,1,0,1
O=C(Nc1ccccc1)c1c2c(nc3ccccc13)CCC2,0.000775124,positive,1,1,0,1
O=C(Nc1ccc(-n2cnnn2)cc1)C1CCCN1C(=O)Nc1ccccc1,0.000774565,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)c1ccccc1)c1ccccc1)Nc1ccc2ccccc2c1,0.000774288,positive,1,1,0,1
O=c1[nH]c2ccccc2cc1CNCc1nnnn1CCc1ccccc1,0.000774171,positive,1,1,0,1
O=C(NCc1cccnc1)C1CCN(S(=O)(=O)c2ccccc2)CC1,0.000773999,positive,1,1,0,1
O=C1CC2CCC1(CS(=O)(=O)NCc1ccccc1)C2,0.00077291,positive,1,1,0,1
O=C(NN=Cc1ccccc1)c1ccc(CSc2cccc3cccnc23)cc1,0.00076993,positive,1,1,0,1
c1ccc(N2CCN(CCCOc3ccc4c(c3)OCO4)CC2)cc1,0.000769149,positive,1,1,0,1
O=C(NN=Cc1c[nH]nc1-c1ccccc1)c1ccccc1,0.000768693,positive,1,1,0,1
O=C(CN1C(=O)COc2ccccc21)NC1CCCc2ccccc21,0.000768026,positive,1,1,0,1
O=C(CSc1nnc(-c2ccccc2)n1Cc1ccco1)Nc1ccon1,0.000767688,positive,1,1,0,1
c1ccc(OCC2CC2)c(OCCNCCc2c[nH]c3ccccc23)c1,0.0007676,positive,1,1,0,1
c1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccccc3)CC2)cc1,0.000763127,positive,1,0,1,0
O=C(Cc1ccccc1)Nc1nnc(-c2ccncc2)s1,0.000761374,positive,1,0,1,0
O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccccc1,0.000761352,positive,1,1,0,1
O=C(C=CC=CC=CC=CC1=CCCCC1)Nc1ccccc1,0.00076046,positive,1,1,0,1
c1ccc(CN2CCCN(c3ncnc4[nH]c(-c5ccccc5)nc34)CC2)cc1,0.000758427,positive,1,1,0,1
O=C1C(=O)N(Cc2ccncc2)C(c2ccccc2)C1C(=O)c1ccco1,0.000758141,positive,1,1,0,1
O=C(CC1Nc2ccccc2NC1=O)Nc1cccs1,0.000758062,positive,1,1,0,1
O=C(N1CCOCC1)N(CCc1ccccc1)Cc1cc2ccccc2[nH]c1=O,0.00075757,positive,1,1,0,1
O=C(COc1ccccc1)Nc1ccc(C(=O)NCc2cccnc2)cc1,0.000757254,positive,1,1,0,1
O=C(CCn1cc2c(c1)C1C=CC2C1)N1CCc2ccccc21,0.000756681,positive,1,1,0,1
O=c1[nH]c2ccccc2cc1C(c1nnn[nH]1)N(Cc1ccco1)CC1CCCO1,0.000756635,positive,1,1,0,1
c1ccc(-n2ncc3ccccc32)cc1,0.000756464,positive,1,1,0,1
N=C1CC(c2ccc(OCc3ccccc3)cc2)C2=C(CC(c3ccco3)CC2=O)O1,0.000756202,positive,1,1,0,1
O=C(Nc1ccccn1)C(NS(=O)(=O)c1cccc2nsnc12)c1ccccc1,0.000756166,positive,1,1,0,1
O=C(NCc1n[nH]c(=S)n1-c1ccccc1)c1ccc(S(=O)(=O)N2CCCC2)cc1,0.000756134,positive,2,2,0,1
O=C(CSc1n[nH]c(=O)n1-c1ccccc1)Nc1ccccc1,0.00075595,positive,1,1,0,1
O=C(CN1CCN(CC(=O)Nc2ccccc2)CC1)Nc1ccccc1,0.000755877,positive,2,2,0,1
N=C1CC(c2ccc(OCC(=O)Nc3ccccc3)cc2)c2ccc3ccccc3c2O1,0.000755698,positive,2,1,1,0.5
N=C(Cc1ccccc1)Sc1ccccc1,0.000755526,positive,1,1,0,1
O=c1c2[nH]c3ccccc3c2ncn1N=Cc1cccc(CN2CCOCC2)c1,0.000755476,positive,1,1,0,1
O=C(NC(c1ccc(-c2ccccc2)cc1)C1CC1)c1ccc(-c2ccccc2)cc1,0.000753881,positive,1,0,1,0
N=C(NOC(=O)Cc1ccccc1)c1cccnc1,0.00075368,positive,1,1,0,1
O=C1CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,0.000753483,positive,1,1,0,1
O=C(CSc1nnc(Cn2nnc3ccccc32)o1)Nc1ccccc1,0.000753299,positive,1,1,0,1
c1ccc2cc(-c3nnc[nH]3)ccc2c1,0.000752725,positive,1,1,0,1
O=C(CSc1nnc2c3ccccc3ncn12)Nc1nc2ccccc2s1,0.000752538,positive,1,1,0,1
c1ccc(-c2nc(-c3ccncc3)no2)cc1,0.000752216,positive,1,1,0,1
S=C(NCCc1ccccc1)N1CCCc2ccccc2C1,0.000751655,positive,1,1,0,1
O=C1NC(c2cccs2)C(C(=O)N2CCN(c3ccccn3)CC2)c2ccccc21,0.000751192,positive,1,1,0,1
O=S(=O)(NCC=NOCCCOCc1ccccc1)c1ccccc1,0.000750535,positive,1,1,0,1
c1ccc(-c2nccc(NCCN3CCOCC3)n2)cc1,0.000750004,positive,2,2,0,1
O=C(NCc1ccccc1)N1CCCC(c2nc3ccccc3[nH]2)C1,0.000749872,positive,1,1,0,1
O=C(CCN1CCOCC1)Nc1ccccc1Cc1ccccc1,0.000749737,positive,1,1,0,1
c1ccc(C2=NN=C(c3ccco3)Nc3ccccc32)cc1,0.00074813,positive,1,1,0,1
O=C(CC12CC3CC(CC(C3)C1)C2)Nc1ccc(S(=O)(=O)Nc2ccno2)cc1,0.000747805,positive,1,1,0,1
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,0.000747753,positive,1,1,0,1
O=C(CCc1ccccc1)NCc1cc[nH]n1,0.000747684,positive,1,1,0,1
c1ccc(Nc2nc(-c3cnoc3)nc3ccccc23)cc1,0.000747147,positive,1,0,1,0
O=C1Nc2ccccc2C1=Cc1nc2ccccc2[nH]1,0.000746607,positive,1,1,0,1
O=C(Nc1ccccc1CC1NCCc2ccccc21)c1cc2ccccc2s1,0.0007466,positive,1,1,0,1
O=C(CSCc1ccccc1)NCCSCc1ccccc1,0.000745322,positive,1,1,0,1
O=C(Nc1ccccc1)C1CCCN1S(=O)(=O)c1cccc2cccnc12,0.000745208,positive,1,1,0,1
O=C(c1ccccc1)c1cn(CCN2CCOCC2)c2ccccc12,0.000745113,positive,1,1,0,1
c1ccc(-n2cnc3cc(NCc4cccs4)ccc32)cc1,0.000744131,positive,2,2,0,1
c1ccc(NCc2nncn2-c2ccccc2)cc1,0.000742619,positive,1,1,0,1
O=C(CN(c1cccc2cccnc12)S(=O)(=O)c1ccccc1)NN=Cc1ccccc1,0.000741486,positive,1,1,0,1
O=C1C=CC2C(C1)C(=O)C(=O)C1C2CCC2C(c3ccoc3)CC3OC321,0.000741322,positive,2,2,0,1
O=C1C=CC2C(=CCC3C2CCC2C3CC3OC(c4ccccc4)OC32)C1,0.000741175,positive,1,1,0,1
C1=CC(c2cccs2)CC=N1,0.0007409,positive,3,2,1,0.666666667
c1ccc(CN2CC3ON=C(c4ccccc4)C3C2)cc1,0.000740051,positive,1,1,0,1
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.000739547,positive,1,1,0,1
O=C(CC(NS(=O)(=O)c1ccccc1)c1ccco1)NC1CCCC1,0.000739477,positive,1,1,0,1
O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3,0.000739332,positive,2,2,0,1
O=C(Nc1ccncc1)c1ccccc1,0.000738668,positive,2,2,0,1
c1ccc2c(Cc3c4ccccc4cc4ccccc34)cncc2c1,0.000735899,positive,1,1,0,1
c1ccc(CNc2ncnc3[nH]c(-c4ccccc4)nc23)cc1,0.000735679,positive,3,3,0,1
O=C(CSCc1ccccc1)NNC(=S)Nc1ccccc1,0.000734588,positive,1,1,0,1
O=C1CC(=O)C(n2cncn2)C(c2ccccc2)C1,0.000734211,positive,2,2,0,1
O=C(c1cc2cc3ccccc3nc2o1)N1CCCCC1,0.000733249,positive,1,1,0,1
O=C(C=Cc1ccc2c(c1)OCO2)NCCSCc1ccccc1,0.000733204,positive,1,0,1,0
O=C(c1ccccc1)C1OC1c1ccccc1,0.000731291,positive,1,1,0,1
c1cnc(SCc2nncn2Cc2ccco2)nc1,0.000730888,positive,1,1,0,1
O=C1C=CC2C(=CCC3C2CCC2C(OC(=O)c4ccco4)CCC23)C1,0.000730839,positive,2,2,0,1
N=C1CC(c2ccccc2)C=CO1,0.000730287,positive,1,1,0,1
O=C(Nc1nc2c(s1)Cc1ccccc1-2)c1ccco1,0.000730214,positive,1,1,0,1
O=C(CC(c1ccccc1)c1ccccc1)Nc1ccccc1,0.000730149,positive,1,1,0,1
O=C(CNc1ccccc1)NN=Cc1cccs1,0.000729688,positive,1,1,0,1
O=C(CNS(=O)(=O)c1ccc2c(c1)CCN2)NCc1ccccc1,0.000729597,positive,1,1,0,1
O=C1C2CCCN2c2ccc(S(=O)(=O)N3CCOCC3)cc2N1Cc1ccccc1,0.000729209,positive,1,1,0,1
O=C(NCc1ccc(-c2nc3ccccc3s2)cc1)c1ccccc1,0.000729128,positive,1,1,0,1
O=C(CSc1nnc(COc2ccc3ccccc3c2)[nH]1)NNC(=O)c1ccccc1,0.000728821,positive,1,1,0,1
O=C(NC1CCCC1)C(c1ccccc1)N(C(=O)c1cc(-c2ccccc2)ns1)c1ccccc1,0.000728362,positive,1,0,1,0
O=C(CN(Cc1ccco1)C(=O)c1ccccn1)NC1CCCC1,0.000728301,positive,1,1,0,1
O=C(CN(Cc1cccs1)C(=O)CNS(=O)(=O)c1ccccc1)NCc1ccco1,0.000728035,positive,1,1,0,1
c1cc2c(c[nH+]c3c4cc5c(cc4ccc23)OCO5)c2c1OCO2,0.000727046,positive,1,1,0,1
O=C(C[SH+]CC(=O)Nc1ccccc1)NCCCc1ccccc1,0.000726205,positive,1,1,0,1
O=C(NC1CCCC1)C(c1ccccc1)N(Cc1ccccc1)C(=O)c1cc[nH]n1,0.00072527,positive,2,1,1,0.5
O=C(Cc1ccccc1)Nc1ccc2c(c1)oc1ccccc12,0.000725262,positive,1,1,0,1
O=C(CSc1nnc(-c2cnccn2)[nH]1)Nc1ccccc1,0.000724601,positive,1,1,0,1
O=C(CSc1nnc(C2CCCCC2)[nH]1)NC1CCCCC1,0.000723756,positive,1,1,0,1
O=C1OCCCCCCCCCCc2ccccc21,0.000723036,positive,1,1,0,1
O=C(C=Cc1ccccc1)Nc1ccncc1,0.000722433,positive,2,2,0,1
O=C(Nc1ccccc1)Nc1nnc(-c2ccncc2)s1,0.000721748,positive,1,1,0,1
O=C(c1ccc(OCc2cnoc2)cc1)N1CCN(c2ccccc2)CC1,0.000721735,positive,1,1,0,1
O=C(Nc1sccc1C(c1cccnc1)N1CCCC1)c1ccco1,0.000721537,positive,1,1,0,1
O=C(Nc1coc2ccccc12)c1ccccc1,0.000719881,positive,2,2,0,1
O=C(NCc1cccs1)C1COc2ccccc2O1,0.00071884,positive,1,1,0,1
c1ccc(CSc2nc(-c3ccccc3)c[nH]2)cc1,0.000718144,positive,1,1,0,1
O=C1CN(CCc2ccccc2)C(=O)C(c2ccccc2)N1,0.000717255,positive,1,1,0,1
O=C(CCNS(=O)(=O)c1ccccc1)NCCc1ccccc1,0.00071668,positive,1,1,0,1
C(=Nn1cnnc1)c1ccc2c(c1)OCO2,0.000716678,positive,1,1,0,1
c1ccc(Nc2ncnc3ccccc23)cc1,0.000715508,positive,2,2,0,1
O=C(CSc1ncn[nH]1)Nc1ccccc1Sc1ccccc1,0.000714598,positive,1,1,0,1
O=C(c1ccccc1)c1c[nH]nc1-c1ccccc1,0.000714514,positive,1,1,0,1
O=C(CC=Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1)c1ccccc1,0.000713779,positive,1,1,0,1
O=C(CNS(=O)(=O)c1cccs1)NCCN1CCN(c2ccccc2)CC1,0.000713243,positive,1,1,0,1
O=C1N=C(COc2ccccc2)CC(c2ccccc2)N1,0.000708603,positive,1,1,0,1
O=C(Nc1ccccc1)c1cccc(S(=O)(=O)Nc2ccccc2)c1,0.000707032,positive,1,1,0,1
O=C1CCCC2=C1C(NC(=O)c1cccnc1)C(=O)N2,0.000706658,positive,1,1,0,1
O=C(CNS(=O)(=O)c1cccc2nsnc12)N1CCc2ccccc2C1,0.00070655,positive,1,1,0,1
O=C(Nc1ccccc1)c1ccnc2ccccc12,0.000705956,positive,1,1,0,1
O=C(Oc1[nH]ncc1S(=O)(=O)c1ccccc1)c1cccs1,0.000705234,positive,1,1,0,1
O=C(CCC1CCNCC1)c1ccccc1OCc1ccccc1,0.000703955,positive,1,1,0,1
O=C(CN(C(=O)c1ccccc1)n1cc2c(c1)C1C=CC2C1)c1ccccc1,0.000703866,positive,1,1,0,1
O=C(NCCc1ccccc1)c1coc(-c2ccccc2)c1,0.000703724,positive,1,1,0,1
O=C(CCc1ccc(S(=O)(=O)NC2CCCCC2)cc1)N(Cc1ccccc1)Cc1ccccc1,0.000703627,positive,1,1,0,1
O=C(NCc1ccccc1)c1onc(CSc2ccccc2)c1C(=O)NCCCN1CCOCC1,0.000702948,positive,1,1,0,1
O=C1CN(C(=O)COC(=O)c2cccc(OCc3cnoc3)c2)c2ccccc2N1,0.000702751,positive,1,1,0,1
O=C(CCn1cccn1)NNC(=S)Nc1ccccc1,0.000702627,positive,2,1,1,0.5
c1ccc(-c2nc3c(NCCN4CCSCC4)ncnc3[nH]2)cc1,0.000701411,positive,1,1,0,1
O=C(NCCc1c[nH]c2ccccc12)C1CCN(c2nnc(N3CCCC3=O)s2)CC1,0.000700303,positive,1,1,0,1
c1ccc(-c2nc3cc(-c4ccc5c(c4)OCO5)ccn3n2)cc1,0.000700112,positive,1,0,1,0
O=C(CC(=O)Nc1ccccc1)NN=Cc1ccccc1,0.000699164,positive,1,1,0,1
O=C(NCc1cn[nH]c1)c1cc2n(n1)CCC(c1ccccc1)N2,0.000697868,positive,1,1,0,1
S=c1[nH]ncn1N=Cc1ccccc1OCc1ccccc1,0.000696557,positive,1,1,0,1
O=C(NCc1ccccc1)c1cn(-c2ccccc2)nn1,0.000696139,positive,1,1,0,1
O=S(=O)(NCc1ccccc1)c1ccccc1,0.000695748,positive,6,4,2,0.666666667
O=S(=O)(Nc1cccc2c1OCC2)c1ccccc1,0.000695259,positive,1,1,0,1
O=C(CN(C(=O)c1ccccn1)c1ccccc1)NC1CCCC1,0.000695181,positive,1,1,0,1
O=C(c1ccc(S(=O)(=O)N2CCC(n3nnc4ccccc43)CC2)cc1)N1CCCCC1,0.000694386,positive,1,1,0,1
O=C(COc1ccccc1)NN=C1c2ccccc2-c2ccccc21,0.000693909,positive,1,1,0,1
N=C(Cc1ccccc1)NOC(=O)COc1cccc2ccccc12,0.000693718,positive,1,1,0,1
c1ccc(Cc2nncn2-c2ccccc2)cc1,0.000692692,positive,1,1,0,1
C=C1CCC2CCCCC2C1,0.000692332,positive,3,3,0,1
O=C(C=Cc1ccco1)NCC1(c2ccccc2)CCCC1,0.000691586,positive,1,1,0,1
O=C(NN=Cc1ccc(OC(=O)c2ccc3c(c2)OCO3)cc1)c1cccnc1,0.000691308,positive,2,1,1,0.5
c1ccc(-c2noc(Cn3cccn3)n2)cc1,0.000690769,positive,1,1,0,1
c1ncc2sccc2n1,0.00068991,positive,2,2,0,1
O=S(=O)(NCc1cccnc1)c1cccnc1,0.000689882,positive,1,0,1,0
C1=CC(ON=CCCN2CCCCc3ncccc32)COC1,0.000689033,positive,1,1,0,1
c1ccc(OCc2nnco2)cc1,0.000688991,positive,1,1,0,1
C(=Cc1nc2ccccc2[nH]1)c1ccc(OCc2ccco2)cc1,0.000688942,positive,2,1,1,0.5
O=C1C2C3C(=CC(=O)N2C(=O)N1Cc1ccccc1)CCc1cn(-c2ccccc2)cc13,0.000686787,positive,1,0,1,0
O=C(CSc1ccccc1)Nc1cccc(NC(=O)c2ccco2)c1,0.00068641,positive,2,1,1,0.5
O=C(NC(=S)Nc1ccc(NC(=O)c2cccs2)cc1)c1ccccc1,0.000684468,positive,1,1,0,1
O=C(CSc1ncnc2c1oc1ccccc12)N1CCCc2ccccc21,0.000684438,positive,1,1,0,1
O=C(CC1CC1C(NS(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1)Nc1ccc2ccccc2c1,0.000684185,positive,1,0,1,0
O=C(CSc1nnc2sc3ccccc3n12)NCc1ccco1,0.000683883,positive,1,0,1,0
N=c1c2cn[nH]c2ncn1-c1ccccc1,0.000682994,positive,1,1,0,1
c1ccc(-c2nc(NCc3ccco3)c3ccccc3n2)cc1,0.000682523,positive,4,3,1,0.75
N=C(Nc1ccccc1)Sc1ccn(-c2ccccc2)c1,0.000682521,positive,1,1,0,1
C=C1C(=O)C(c2ccccc2)=C2CN3C(=O)N(CCc4ccccc4)C(=O)C3C12,0.00068165,positive,1,1,0,1
O=S(=O)(NCC=NOCCCOCc1ccco1)c1ccccc1,0.000680973,positive,1,1,0,1
O=S(=O)(Nc1ccccc1)c1ccc(N2CCCCCC2)cc1,0.000680823,positive,1,1,0,1
O=C(COC(=O)c1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1)Nc1ccon1,0.000679673,positive,1,1,0,1
O=C(COC(=O)c1c2c(nc3ccccc13)CCCC2)Nc1ccccc1,0.000678167,positive,1,1,0,1
O=C(CSc1cc2c(cn1)CCCC2)Nc1ccccc1,0.000677743,positive,3,2,1,0.666666667
