scaffold,mean_shap,effect
O=C(CSc1nnc2ccc3ccccc3n12)NCc1ccc2c(c1)OCO2,0.0025133626,positive
O=C(c1cc2c(n1Cc1ccco1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0025036088,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3ccccn3)C2C1Cc1ccccc1,0.0024947575,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2[nH]1,0.002491612,positive
c1ccc2c(NCCc3c[nH]c4ccccc34)nc(-c3cnoc3)nc2c1,0.0024895426,positive
c1ccc(CNc2ncncc2-c2cnoc2)cc1,0.0024864222,positive
c1ccc2c(CCNc3ncncc3-c3cnoc3)c[nH]c2c1,0.0024481975,positive
O=C(c1cc2c(n1Cc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0024317356,positive
O=C(c1cc2c(n1CCn1ccnc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002424622,positive
c1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1,0.0024231542,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cc[nH]n3)C2C1Cc1ccccc1,0.0024209965,positive
c1ccc(Nc2ncncc2-c2ccc3c(c2)OCO3)cc1,0.002415282,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccc3)C2C1Cc1ccccc1,0.0024100642,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,0.0024086323,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccc2ccccc12,0.0024042802,positive
c1ccc(CNc2ncncc2-c2ccc3c(c2)OCO3)cc1,0.0024014232,positive
c1ccc(-c2cncnc2NCCc2c[nH]cn2)cc1,0.0024004169,positive
O=C(c1cc2c([nH]1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0023753874,positive
c1cncc(CNc2nc(-c3ccoc3)nc3ccccc23)c1,0.0023657926,positive
c1ccc(CNc2ncncc2-c2ccoc2)cc1,0.0023636844,positive
c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)cc1,0.0023548242,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cccnc3)C2C1Cc1ccccc1,0.002352252,positive
c1cncc(-c2nc(NCc3cccs3)c3ccccc3n2)c1,0.0023508111,positive
c1ccc(CNc2ncncc2-c2ccccc2)cc1,0.0023504947,positive
c1ccc2c(NCc3cnccn3)nc(-c3ccc4c(c3)OCO4)nc2c1,0.002342967,positive
O=C(CSc1nnc(-c2ccc3ccccc3c2)[nH]1)NCc1ccc2c(c1)OCO2,0.0023422912,positive
c1ccc(Nc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cc1,0.0023410826,positive
